ParcelId,AddrNum,StPreDir,StName,StType,StSufDir,Address,WARD,NeighborhoodNumber,NeighborhoodName,LowAddrNum,LowAddrSuf,HighAddrNum,HighAddrSuf,Description,Usage,Class,LegalDescription,PropertyType,Side lot Eligible?,Stories,Irregular_Lot,Frontage,NbrOfUnits,SQFT
04099040000,1220,,LAFAYETTE,AV,,1220   LAFAYETTE AV ,8,33,Peabody Darst Webbe,1220,,1220,,demolished gas station,Vacant Lot,,C B 0409 LAFAYETTE76FT/124 FT 6 IN X 34 FT 8 7/8 IN/81 FTHY 6 SOULARDS ADDNLOTS 1 & PT 2 & 3,Lot,,,,,,7715
49969180000,5928,,HIGHLAND,AV,,5928   HIGHLAND AV ,13,50,Wells Goodfellow,5928,,5928,,Demolished: 2 story brick,Vacant Lot,A,C. B. 4996 HIGHLAND30 FT X 125 FT 6 INMT AUBURN ADDNLOT W23,Lot,,0,,,,3411
49969190000,5924,,HIGHLAND,AV,,5924   HIGHLAND AV ,13,50,Wells Goodfellow,5924,,5924,,,Vacant Lot,A,C. B. 4996 HIGHLAND40 FT X 124 FT 4 INMT GAMBLE ADDNLOT W22-E23,Lot,,0,,,,5234
44249080000,4125,,CLARENCE,AV,,4125   CLARENCE AV ,11,68,O'Fallon,4125,,4125,,vacant lot w/ green lien,Vacant Lot,A,C. B. 4424 CLARENCE25 FT X 115 FTROSENBERG ADDNLOT 7,Lot,Yes,0,,,,2880
49929310000,5806,,LOTUS,AV,,5806   LOTUS AV ,13,50,Wells Goodfellow,5806,,5806,,,Vacant Lot,C,C B 4992 LOTUS50 FT X 126 FT 6 INMT AUBURN ADDNLOT W-21 & E-22,Lot,,0,,,,5393
48259510000,2729,,ARLINGTON,AV,,2729   ARLINGTON AV ,13,50,Wells Goodfellow,2729,,2729,,,Vacant Lot,A,C. B. 4825 ARLINGTON50 FT X 172 FT 8 1/2 INMASS. MUTUAL INS. COBLOCK 2LOT 21,Lot,,0,,,,8648
24449340000,4417,N,19TH,ST,,4417  N 19TH ST ,14,66,College Hill,4417,,4417,,,Vacant Lot,C,C. B. 2444 19TH ST25 FT X 130 FTBISSELL PK ADDNLOT S-21,Lot,,0,,,,3256
24769040000,2038,,GANO,AV,,2038   GANO AV ,14,66,College Hill,2038,,2038,,,Vacant Lot,C,C B 2476 GANO AV50 FT X 110 FTJ G BRYANS ESTATE 2ND ADDNBLOCK 44 LOT 3,Lot,,0,,,,5525
24829250000,4307,,JOHN,AV,,4307   JOHN AV ,11,67,Fairground Neighborhood,4307,,4309,,,Vacant Lot,A,C B 2482 JOHN AVE50 FT X 107.5 FTRYANS ADDNBLK 52LOT 16,Lot,,0,,,,5418
52379480000,5643,,ST LOUIS,AV,,5643   ST LOUIS AV ,13,50,Wells Goodfellow,5643,,5643,,vacant lot w/ green lien,Vacant Lot,A,C. B. 5237 ST LOUIS AVE40 FT/41.65 FT X 107.66 FT/108.07 FTMOTOR HTS ADDNBLOCK 2LOT 48 W-47,Lot,,0,,,,4452
33069120000,4238,,PRAIRIE,AV,,4238   PRAIRIE AV ,11,67,Fairground Neighborhood,4238,,4238,,,Vacant Lot,,C. B. 3306 PRAIRIE AV25 FT X 132 FTBRYANS 2 ADDN  BLOCK 57LOT S-8,Lot,,0,,,,3259
52549080000,5554,,POWERS,AV,,5554   POWERS AV ,13,50,Wells Goodfellow,5554,,5554,,,Vacant Lot,A,C. B. 5254 POWERS AVE25 FT X 108 FTST EDWARDS ADDNBLOCK 4 LOT 25,Lot,,0,,,,2685
52549090000,5550,,POWERS,AV,,5550   POWERS AV ,13,50,Wells Goodfellow,5550,,5550,,,Vacant Lot,A,C. B.5254 POWERS ST25 FT X 108 FTMT ST EDWARDS ADDNBLOCK 4 LOT 26,Lot,,0,,,,2685
52549100000,2715,,BURD,AV,,2715   BURD AV ,13,50,Wells Goodfellow,2715,,2719,,,Vacant Lot,A,C. B. 5254 POWERS49 FT 6 1/2 IN X 108 FTM ST EDW ADDNBLOCK 4 LOT 27 28,Lot,,0,,,,5315
51269300000,5459,,WREN,AV,,5459   WREN AV ,13,72,Walnut Park East,5459,,5459,,vacant lot w/ green lien,Vacant Lot,C,C.B.5126 WREN50 FT X 135 FT 6 INWALNUT PK ADDNBLK 12 LOT 5,Lot,,0,,,,6931
